"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2024-12-31 23:00:00","2025-01-01 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3453249,3453249,0.76198875904083,0,0
"2025-01-01 00:00:00","2025-01-01 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3110750,3110750,0.68641322851181,0,0
"2025-01-01 01:00:00","2025-01-01 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3376750,3376750,0.74510872364044,0,0
"2025-01-01 02:00:00","2025-01-01 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3414750,3414750,0.75349348783493,0,0
"2025-01-01 03:00:00","2025-01-01 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3155250,3155250,0.69623273611069,0,0
"2025-01-01 04:00:00","2025-01-01 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2714499,2714499,0.59897702932358,0,0
"2025-01-01 05:00:00","2025-01-01 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2826000,2826000,0.62358075380325,0,0
"2025-01-01 06:00:00","2025-01-01 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2691500,2691500,0.59390223026276,0,0
"2025-01-01 07:00:00","2025-01-01 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2566501,2566501,0.56632024049759,0,0
"2025-01-01 08:00:00","2025-01-01 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2249750,2249750,0.49642649292946,0,0
"2025-01-01 09:00:00","2025-01-01 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2035250,2035250,0.44909524917603,0,0
"2025-01-01 10:00:00","2025-01-01 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1573501,1573501,0.34720650315285,0,0
"2025-01-01 11:00:00","2025-01-01 12:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1518000,1518000,0.3349597454071,0,0
"2025-01-01 12:00:00","2025-01-01 13:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1817250,1817250,0.40099149942398,0,0
"2025-01-01 13:00:00","2025-01-01 14:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1998750,1998750,0.44104126095772,0,0
"2025-01-01 14:00:00","2025-01-01 15:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2567250,2567250,0.56648522615433,0,0
"2025-01-01 15:00:00","2025-01-01 16:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3314000,3314000,0.73126226663589,0,0
"2025-01-01 16:00:00","2025-01-01 17:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3651249,3651249,0.80567902326584,0,0
"2025-01-01 17:00:00","2025-01-01 18:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3621251,3621251,0.7990597486496,0,0
"2025-01-01 18:00:00","2025-01-01 19:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3423001,3423001,0.75531423091888,0,0
"2025-01-01 19:00:00","2025-01-01 20:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3645000,3645000,0.80430024862289,0,0
"2025-01-01 20:00:00","2025-01-01 21:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3433001,3433001,0.75752073526382,0,0
"2025-01-01 21:00:00","2025-01-01 22:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3283750,3283750,0.72458750009537,0,0
"2025-01-01 22:00:00","2025-01-01 23:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3208000,3208000,0.70787250995636,0,0
"2025-01-01 23:00:00","2025-01-02 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2405000,2405000,0.53068375587463,0,0
"2025-01-02 00:00:00","2025-01-02 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1860750,1860750,0.41059026122093,0,0
"2025-01-02 01:00:00","2025-01-02 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1584750,1584750,0.34968873858452,0,0
"2025-01-02 02:00:00","2025-01-02 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1469249,1469249,0.3242025077343,0,0
"2025-01-02 03:00:00","2025-01-02 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1377000,1377000,0.30384674668312,0,0
"2025-01-02 04:00:00","2025-01-02 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1430751,1430751,0.3157075047493,0,0
"2025-01-02 05:00:00","2025-01-02 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1360500,1360500,0.30020573735237,0,0
"2025-01-02 06:00:00","2025-01-02 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1153749,1153749,0.2545844912529,0,0
"2025-01-02 07:00:00","2025-01-02 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1305001,1305001,0.28795975446701,0,0
"2025-01-02 08:00:00","2025-01-02 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1113749,1113749,0.24575799703598,0,0
"2025-01-02 09:00:00","2025-01-02 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,925000,925000,0.20410925149918,0,0
