"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2024-12-31 23:00:00","2025-01-01 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 00:00:00","2025-01-01 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 01:00:00","2025-01-01 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 02:00:00","2025-01-01 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 03:00:00","2025-01-01 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 04:00:00","2025-01-01 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 05:00:00","2025-01-01 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 06:00:00","2025-01-01 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 07:00:00","2025-01-01 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 08:00:00","2025-01-01 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,21315,21315,0.00091228872770444,0,0
"2025-01-01 09:00:00","2025-01-01 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,232425,232425,0.0099478447809815,0,0
"2025-01-01 10:00:00","2025-01-01 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,373378,373378,0.015980575233698,0,0
"2025-01-01 11:00:00","2025-01-01 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,430200,430200,0.018412450328469,0,0
"2025-01-01 12:00:00","2025-01-01 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,437034,437034,0.018704850226641,0,0
"2025-01-01 13:00:00","2025-01-01 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,282121,282121,0.012074587866664,0,0
"2025-01-01 14:00:00","2025-01-01 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,64452,64452,0.0027584889903665,0,0
"2025-01-01 15:00:00","2025-01-01 16:00:00",Nederland,Solar,Hour,UTC,Providing,Current,971,971,4.1557723307051E-5,0,0
"2025-01-01 16:00:00","2025-01-01 17:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 17:00:00","2025-01-01 18:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 18:00:00","2025-01-01 19:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 19:00:00","2025-01-01 20:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 20:00:00","2025-01-01 21:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 21:00:00","2025-01-01 22:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 22:00:00","2025-01-01 23:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 23:00:00","2025-01-02 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 00:00:00","2025-01-02 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 01:00:00","2025-01-02 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 02:00:00","2025-01-02 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 03:00:00","2025-01-02 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 04:00:00","2025-01-02 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 05:00:00","2025-01-02 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 06:00:00","2025-01-02 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 07:00:00","2025-01-02 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 08:00:00","2025-01-02 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,370111,370111,0.015838865190744,0,0
"2025-01-02 09:00:00","2025-01-02 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2939849,2939849,0.12580999732018,0,0
"2025-01-02 10:00:00","2025-01-02 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,5432527,5432527,0.23248225450516,0,0
"2025-01-02 11:00:00","2025-01-02 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,7437300,7437300,0.31827399134636,0,0
"2025-01-02 12:00:00","2025-01-02 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,6129497,6129497,0.26230624318123,0,0
"2025-01-02 13:00:00","2025-01-02 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,3801970,3801970,0.16270099580288,0,0
"2025-01-02 14:00:00","2025-01-02 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1922372,1922372,0.08226515352726,0,0
"2025-01-02 15:00:00","2025-01-02 16:00:00",Nederland,Solar,Hour,UTC,Providing,Current,304762,304762,0.013041824102402,0,0
"2025-01-02 16:00:00","2025-01-02 17:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 17:00:00","2025-01-02 18:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 18:00:00","2025-01-02 19:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 19:00:00","2025-01-02 20:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 20:00:00","2025-01-02 21:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 21:00:00","2025-01-02 22:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 22:00:00","2025-01-02 23:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 23:00:00","2025-01-03 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 00:00:00","2025-01-03 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 01:00:00","2025-01-03 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 02:00:00","2025-01-03 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 03:00:00","2025-01-03 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 04:00:00","2025-01-03 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 05:00:00","2025-01-03 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 06:00:00","2025-01-03 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 07:00:00","2025-01-03 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 08:00:00","2025-01-03 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,388593,388593,0.016627680510283,0,0
"2025-01-03 09:00:00","2025-01-03 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2756707,2756707,0.11795745044947,0,0
"2025-01-03 10:00:00","2025-01-03 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,4192060,4192060,0.17937450110912,0,0
"2025-01-03 11:00:00","2025-01-03 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,3402023,3402023,0.14556850492954,0,0
"2025-01-03 12:00:00","2025-01-03 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2460459,2460459,0.10527954995632,0,0
"2025-01-03 13:00:00","2025-01-03 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2129845,2129845,0.09113260358572,0,0
"2025-01-03 14:00:00","2025-01-03 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1597406,1597406,0.068350046873093,0,0
"2025-01-03 15:00:00","2025-01-03 16:00:00",Nederland,Solar,Hour,UTC,Providing,Current,343686,343686,0.014705632813275,0,0
"2025-01-03 16:00:00","2025-01-03 17:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 17:00:00","2025-01-03 18:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 18:00:00","2025-01-03 19:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 19:00:00","2025-01-03 20:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 20:00:00","2025-01-03 21:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 21:00:00","2025-01-03 22:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 22:00:00","2025-01-03 23:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 23:00:00","2025-01-04 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 00:00:00","2025-01-04 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 01:00:00","2025-01-04 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 02:00:00","2025-01-04 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 03:00:00","2025-01-04 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 04:00:00","2025-01-04 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 05:00:00","2025-01-04 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 06:00:00","2025-01-04 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 07:00:00","2025-01-04 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 08:00:00","2025-01-04 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,134537,134537,0.0057560186833143,0,0
"2025-01-04 09:00:00","2025-01-04 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,949106,949106,0.040606375783682,0,0
"2025-01-04 10:00:00","2025-01-04 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1588975,1588975,0.067982047796249,0,0
"2025-01-04 11:00:00","2025-01-04 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2149460,2149460,0.091961152851582,0,0
"2025-01-04 12:00:00","2025-01-04 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2262531,2262531,0.096798151731491,0,0
"2025-01-04 13:00:00","2025-01-04 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2180142,2180142,0.09327282756567,0,0
"2025-01-04 14:00:00","2025-01-04 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1491815,1491815,0.063823901116848,0,0
"2025-01-04 15:00:00","2025-01-04 16:00:00",Nederland,Solar,Hour,UTC,Providing,Current,206052,206052,0.0088154328987002,0,0
"2025-01-04 16:00:00","2025-01-04 17:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
